Vehicle Type/Size, Vehicle Color, Vehicle Movement Direction, Vehicle Speed (km/h)
car,white,n.a.,n.a.
car,white,n.a.,n.a.
car,white,n.a.,n.a.
car,white,n.a.,n.a.
car,white,n.a.,n.a.
car,white,n.a.,n.a.
car,white,n.a.,n.a.
car,white,n.a.,n.a.
car,white,n.a.,n.a.
car,white,n.a.,n.a.
car,white,n.a.,n.a.
car,white,n.a.,n.a.
car,white,n.a.,n.a.
car,white,n.a.,n.a.
car,white,n.a.,n.a.
car,white,n.a.,n.a.
car,white,n.a.,n.a.
car,white,n.a.,n.a.
car,white,n.a.,n.a.
car,white,n.a.,n.a.
car,white,n.a.,n.a.
car,white,n.a.,n.a.
car,white,n.a.,n.a.
car,white,n.a.,n.a.
car,white,n.a.,n.a.
car,white,n.a.,n.a.
car,white,n.a.,n.a.
car,white,n.a.,n.a.
car,white,n.a.,n.a.
car,white,n.a.,n.a.
car,white,n.a.,n.a.
car,white,n.a.,n.a.
car,white,n.a.,n.a.
car,white,n.a.,n.a.
car,white,n.a.,n.a.
car,white,n.a.,n.a.
car,white,n.a.,n.a.
car,white,n.a.,n.a.
car,white,n.a.,n.a.
car,white,n.a.,n.a.
truck,white,n.a.,n.a.
car,white,n.a.,n.a.
car,white,n.a.,n.a.
car,white,n.a.,n.a.
truck,white,n.a.,n.a.
car,white,n.a.,n.a.
car,white,n.a.,n.a.
car,white,n.a.,n.a.
car,white,n.a.,n.a.
car,white,n.a.,n.a.
person,white,n.a.,n.a.
car,white,n.a.,n.a.
car,white,n.a.,n.a.
car,white,n.a.,n.a.
car,white,n.a.,n.a.
motorcycle,white,n.a.,n.a.
motorcycle,white,n.a.,n.a.
car,white,n.a.,n.a.
car,white,n.a.,n.a.
car,white,n.a.,n.a.
car,white,n.a.,n.a.
car,white,n.a.,n.a.
motorcycle,white,n.a.,n.a.
car,white,n.a.,n.a.
car,white,n.a.,n.a.
motorcycle,white,n.a.,n.a.
car,white,n.a.,n.a.
motorcycle,white,n.a.,n.a.
motorcycle,white,n.a.,n.a.
car,white,n.a.,n.a.
car,white,n.a.,n.a.
car,white,n.a.,n.a.
car,white,n.a.,n.a.
car,white,n.a.,n.a.
car,white,n.a.,n.a.
car,white,n.a.,n.a.
car,white,n.a.,n.a.
car,white,n.a.,n.a.
car,white,n.a.,n.a.
car,white,n.a.,n.a.
car,white,n.a.,n.a.
car,white,n.a.,n.a.
car,white,n.a.,n.a.
car,white,n.a.,n.a.
car,white,n.a.,n.a.
car,white,n.a.,n.a.
car,white,n.a.,n.a.
person,white,n.a.,n.a.
person,white,n.a.,n.a.
person,white,n.a.,n.a.
person,white,n.a.,n.a.
car,white,n.a.,n.a.
person,white,n.a.,n.a.
person,white,n.a.,n.a.
person,white,n.a.,n.a.
person,white,n.a.,n.a.
car,white,n.a.,n.a.
car,white,n.a.,n.a.
car,white,n.a.,n.a.
person,white,n.a.,n.a.
car,white,n.a.,n.a.
car,white,n.a.,n.a.
car,white,n.a.,n.a.
car,white,n.a.,n.a.
car,white,n.a.,n.a.
car,white,n.a.,n.a.
car,white,n.a.,n.a.
person,white,n.a.,n.a.
person,white,n.a.,n.a.
person,white,n.a.,n.a.
person,white,n.a.,n.a.
car,white,n.a.,n.a.
person,white,n.a.,n.a.
person,white,n.a.,n.a.
person,white,n.a.,n.a.
person,white,n.a.,n.a.
person,white,n.a.,n.a.
person,white,n.a.,n.a.
car,white,n.a.,n.a.
person,white,n.a.,n.a.
person,white,n.a.,n.a.
person,white,n.a.,n.a.
person,white,n.a.,n.a.
person,white,n.a.,n.a.
person,white,n.a.,n.a.
person,white,n.a.,n.a.
person,white,n.a.,n.a.
person,white,n.a.,n.a.
person,white,n.a.,n.a.
person,white,n.a.,n.a.
person,white,n.a.,n.a.
person,white,n.a.,n.a.
person,white,n.a.,n.a.
person,white,n.a.,n.a.
person,white,n.a.,n.a.
person,white,n.a.,n.a.
person,white,n.a.,n.a.
person,white,n.a.,n.a.
person,white,n.a.,n.a.
person,white,n.a.,n.a.
person,white,n.a.,n.a.
person,white,n.a.,n.a.
person,white,n.a.,n.a.
person,white,n.a.,n.a.
car,white,n.a.,n.a.
person,white,n.a.,n.a.
person,white,n.a.,n.a.
car,white,n.a.,n.a.
car,white,n.a.,n.a.
